序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
167,603993,洛阳钼业,20,14.0,6.0,0.0,0.0,0.0,0.950661677344,1.5585,1.7625,1.974705882353
168,600958,东方证券,20,14.0,6.0,0.0,0.0,0.0,0.663033391157,0.761666666667,0.828888888889,0.916875
169,601128,常熟银行,20,16.0,4.0,0.0,0.0,0.0,1.156568446284,1.345263157895,1.491578947368,1.662777777778
170,600233,圆通速递,20,11.0,9.0,0.0,0.0,0.0,1.262362682629,1.7845,2.0655,2.328947368421
171,603899,晨光股份,20,14.0,6.0,0.0,0.0,0.0,1.430940824634,1.603904761905,1.789428571429,1.980285714286
172,601127,赛力斯,20,15.0,4.0,1.0,0.0,0.0,3.419539867352,3.041047619048,4.837857142857,6.2702
173,600655,豫园股份,20,6.0,14.0,0.0,0.0,0.0,-1.258390547706,0.06545,0.15535,0.229526315789
174,002415,海康威视,20,15.0,5.0,0.0,0.0,0.0,1.548889345254,1.89175,2.15725,2.422894736842
175,000338,潍柴动力,20,16.0,4.0,0.0,0.0,0.0,1.265072378413,1.668,2.033,2.455
176,300413,芒果超媒,20,13.0,7.0,0.0,0.0,0.0,0.655975117447,0.616,0.8,0.872352941176
177,600011,华能国际,20,16.0,4.0,0.0,0.0,0.0,0.91791744892,0.7543,0.83965,0.907315789474
178,600938,中国海油,20,18.0,2.0,0.0,0.0,0.0,2.568527628726,3.4133,3.37495,3.464210526316
179,300454,深信服,20,14.0,6.0,0.0,0.0,0.0,0.910169650918,1.4275,1.8455,2.268947368421
180,002027,分众传媒,20,15.0,5.0,0.0,0.0,0.0,0.204008569108,0.409,0.417,0.443684210526
181,601155,新城控股,20,13.0,7.0,0.0,0.0,0.0,0.301516109039,0.4005,0.541,0.663684210526
182,600754,锦江酒店,20,11.0,9.0,0.0,0.0,0.0,0.869729886582,1.09675,1.2907,1.480421052632
183,603225,新凤鸣,20,16.0,4.0,0.0,0.0,0.0,0.607076534633,1.3845,1.7005,1.985789473684
184,600801,华新建材,20,14.0,5.0,1.0,0.0,0.0,1.372456956017,1.786,2.10145,2.39765
185,603939,益丰药房,19,12.0,7.0,0.0,0.0,0.0,1.384437700161,1.5938,1.81915,2.059578947368
186,002043,兔宝宝,19,11.0,8.0,0.0,0.0,0.0,0.846377292823,0.9515,1.109611111111,1.256117647059
187,300394,天孚通信,19,17.0,2.0,0.0,0.0,0.0,1.849302924021,3.595666666667,5.516666666667,8.165388888889
188,601633,长城汽车,19,14.0,5.0,0.0,0.0,0.0,1.150004664924,1.211526315789,1.551842105263,1.870333333333
189,600926,杭州银行,19,12.0,7.0,0.0,0.0,0.0,2.62508529608,2.835555555556,3.156666666667,3.509444444444
190,603501,豪威集团,19,16.0,3.0,0.0,0.0,0.0,3.216508137406,3.338947368421,4.231052631579,5.093684210526
191,603298,杭叉集团,19,11.0,8.0,0.0,0.0,0.0,1.6730001053,1.846315789474,2.093684210526,2.367222222222
192,300037,新宙邦,19,17.0,2.0,0.0,0.0,0.0,1.455519689614,2.85,3.546111111111,4.263333333333
193,600985,淮北矿业,19,14.0,5.0,0.0,0.0,0.0,0.559170816794,1.163157894737,1.449473684211,1.587368421053
194,301376,致欧科技,19,12.0,7.0,0.0,0.0,0.0,0.834365175179,1.180555555556,1.469666666667,1.746647058824
195,300633,开立医疗,19,13.0,6.0,0.0,0.0,0.0,0.464365963405,0.7295,0.9755,1.245
196,002352,顺丰控股,19,12.0,7.0,0.0,0.0,0.0,2.111408456126,2.405894736842,2.703526315789,3.0365
197,002304,洋河股份,19,11.0,6.0,1.0,1.0,0.0,1.464413780997,1.533,1.722,1.994736842105
198,603893,瑞芯微,19,16.0,3.0,0.0,0.0,0.0,2.457681618921,3.683333333333,4.731666666667,6.051176470588
199,600312,平高电气,19,13.0,6.0,0.0,0.0,0.0,0.825274850894,1.037611111111,1.271277777778,1.4758125
